,month_year,Период,period_sort_index,"Трудозатраты, чел-час"
9,1_2023,янв 2023,1,175.7
12,2_2023,фев 2023,2,175.4
15,3_2023,мар 2023,3,205.7
18,4_2023,апр 2023,4,224.0
21,5_2023,май 2023,5,216.7
24,6_2023,июн 2023,6,174.4
27,7_2023,июл 2023,7,347.9
30,8_2023,авг 2023,8,177.5
33,9_2023,сен 2023,9,183.6
0,10_2023,окт 2023,10,252.1
3,11_2023,ноя 2023,11,183.6
6,12_2023,дек 2023,12,237.5
10,1_2024,янв 2024,13,287.9
13,2_2024,фев 2024,14,212.3
16,3_2024,мар 2024,15,177.5
19,4_2024,апр 2024,16,1997.0
22,5_2024,май 2024,17,2014.9
25,6_2024,июн 2024,18,176.2
28,7_2024,июл 2024,19,290.1
31,8_2024,авг 2024,20,230.4
34,9_2024,сен 2024,21,388.4
1,10_2024,окт 2024,22,624.5
4,11_2024,ноя 2024,23,419.5
7,12_2024,дек 2024,24,339.5
11,1_2025,янв 2025,25,759.1
14,2_2025,фев 2025,26,338.0
17,3_2025,мар 2025,27,382.2
20,4_2025,апр 2025,28,665.0
23,5_2025,май 2025,29,313.4
26,6_2025,июн 2025,30,479.8
29,7_2025,июл 2025,31,830.2
32,8_2025,авг 2025,32,223.6
35,9_2025,сен 2025,33,542.5
2,10_2025,окт 2025,34,2079.9
5,11_2025,ноя 2025,35,431.9
8,12_2025,дек 2025,36,937.3
